resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3048,0,45,45,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3152,0,46,46,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3284,0,47,47,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3155,0,48,48,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,1,,0,49,49,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,z,26.7331,,0,0,0,0,37,1,W,space,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,1,1,8,1,F,space,0.2647,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,2,2,7,1,A,space,0.5653,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,3,3,33,1,V,space,0.4785,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,0,0,4,4,34,1,X,none,0.3445,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,5,5,11,1,K,space,0.3486,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,1,0,6,6,29,1,X,none,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,7,7,10,1,H,space,0.3652,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,8,8,35,1,N,space,0.4302,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,space,1,0,9,9,6,1,I,space,0.494,,
