resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2977,0,32,32,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2866,0,33,33,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.286,0,34,34,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3872,0,35,35,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3056,0,36,36,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3033,0,37,37,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3014,0,38,38,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,0,0.2499,0,39,39,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3304,0,40,40,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3533,0,41,41,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,1,,0,42,42,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2773,0,43,43,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.5642,0,44,44,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.4181,0,45,45,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3512,0,46,46,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3364,0,47,47,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3376,0,48,48,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3678,0,49,49,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,z,13.2685,,0,0,0,0,31,1,L,space,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,,0,0,1,1,32,1,Z,space,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,,0,0,2,2,33,1,V,space,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,space,1,0,3,3,13,1,Z,space,0.427,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,,1,0,4,4,4,1,X,none,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,space,1,0,5,5,26,1,A,space,0.3624,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,space,1,0,6,6,36,1,M,space,0.4109,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,space,1,0,7,7,0,1,W,space,0.4465,,
